Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
PSL312914(2.2E),"3 1/2"" x 9 1/4"" 2.2E Parallam PSL ","3 1/2"" x 9 1/4"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL312912(2.2E),"3 1/2"" x 9 1/2"" 2.2E Parallam PSL ","3 1/2"" x 9 1/2"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL3121178(2.2E),"3 1/2"" x 11 7/8"" 2.2E Parallam PSL ","3 1/2"" x 11 7/8"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL31214(2.2E),"3 1/2"" x 14"" 2.2E Parallam PSL ","3 1/2"" x 14"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL31216(2.2E),"3 1/2"" x 16"" 2.2E Parallam PSL ","3 1/2"" x 16"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL31218(2.2E),"3 1/2"" x 18"" 2.2E Parallam PSL ","3 1/2"" x 18"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL514914(2.2E),"5 1/4"" x 9 1/4"" 2.2E Parallam PSL ","5 1/4"" x 9 1/4"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL514912(2.2E),"5 1/4"" x 9 1/2"" 2.2E Parallam PSL ","5 1/4"" x 9 1/2"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL5141178(2.2E),"5 1/4"" x 11 7/8"" 2.2E Parallam PSL ","5 1/4"" x 11 7/8"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL51414(2.2E),"5 1/4"" x 14"" 2.2E Parallam PSL ","5 1/4"" x 14"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL51416(2.2E),"5 1/4"" x 16"" 2.2E Parallam PSL ","5 1/4"" x 16"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL51418(2.2E),"5 1/4"" x 18"" 2.2E Parallam PSL ","5 1/4"" x 18"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL7914(2.2E),"7"" x 9 1/4"" 2.2E Parallam PSL ","7"" x 9 1/4"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL7912(2.2E),"7"" x 9 1/2"" 2.2E Parallam PSL ","7"" x 9 1/2"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL71178(2.2E),"7"" x 11 7/8"" 2.2E Parallam PSL ","7"" x 11 7/8"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL714(2.2E),"7"" x 14"" 2.2E Parallam PSL ","7"" x 14"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL716(2.2E),"7"" x 16"" 2.2E Parallam PSL ","7"" x 16"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSL718(2.2E),"7"" x 18"" 2.2E Parallam PSL ","7"" x 18"" 2.2E Parallam PSL ",02/06/18,EWP,ea,NO
PSLCP312312(1.8E),"3 1/2"" x 3 1/2"" 1.8E Parallam PSL Column/Post","3 1/2"" x 3 1/2"" 1.8E Parallam PSL Column/Post",02/06/18,EWP,ea,NO
PSLCP312514(1.8E),"3 1/2"" x 5 1/4"" 1.8E Parallam PSL  Column/Post","3 1/2"" x 5 1/4"" 1.8E Parallam PSL  Column/Post",02/06/18,EWP,ea,NO
PSLCP3127(1.8E),"3 1/2"" x 7"" 1.8E Parallam PSL  Column/Post","3 1/2"" x 7"" 1.8E Parallam PSL  Column/Post",02/06/18,EWP,ea,NO
PSLCP514514(1.8E),"5 1/4"" x 5 1/4"" 1.8E Parallam PSL  Column/Post","5 1/4"" x 5 1/4"" 1.8E Parallam PSL  Column/Post",02/06/18,EWP,ea,NO
PSLCP5147(1.8E),"5 1/4"" x 7"" 1.8E Parallam PSL  Column/Post","5 1/4"" x 7"" 1.8E Parallam PSL  Column/Post",02/06/18,EWP,ea,NO
PSLCP77(1.8E),"7"" x 7"" 1.8E Parallam PSL  Column/Post","7"" x 7"" 1.8E Parallam PSL  Column/Post",02/06/18,EWP,ea,NO
LSL134912(1.55E),"1 3/4"" x 9 1/2"" 1.55 Timberstrand LSL ","1 3/4"" x 9 1/2"" 1.55 Timberstrand LSL ",02/06/18,EWP,ea,NO
LSL1341178(1.55E),"1 3/4"" x 11 7/8"" 1.55 Timberstrand LSL ","1 3/4"" x 11 7/8"" 1.55 Timberstrand LSL ",02/06/18,EWP,ea,NO
LSL13414(1.55E),"1 3/4"" x 14"" 1.55 Timberstrand LSL ","1 3/4"" x 14"" 1.55 Timberstrand LSL ",02/06/18,EWP,ea,NO
LSL13416(1.55E),"1 3/4"" x 16"" 1.55 Timberstrand LSL ","1 3/4"" x 16"" 1.55 Timberstrand LSL ",02/06/18,EWP,ea,NO
LSL134912(1.3E),"1 3/4"" x 9 1/2"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 9 1/2"" 1.3 Timberstrand LSL (rimjoist)",02/06/18,EWP,ea,NO
LSL1341178(1.3E),"1 3/4"" x 11 7/8"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 11 7/8"" 1.3 Timberstrand LSL (rimjoist)",02/06/18,EWP,ea,NO
LSL13414(1.3E),"1 3/4"" x 14"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 14"" 1.3 Timberstrand LSL (rimjoist)",02/06/18,EWP,ea,NO
LSL13416(1.3E),"1 3/4"" x 16"" 1.3 Timberstrand LSL (rimjoist)","1 3/4"" x 16"" 1.3 Timberstrand LSL (rimjoist)",02/06/18,EWP,ea,NO
LSL312912(1.55E),"3 1/2"" x 9 1/2"" 1.55 Timberstrand LSL ","3 1/2"" x 9 1/2"" 1.55 Timberstrand LSL ",02/06/18,EWP,ea,NO
LSL3121178(1.55E),"3 1/2"" x 11 7/8"" 1.55 Timberstrand LSL ","3 1/2"" x 11 7/8"" 1.55 Timberstrand LSL ",02/06/18,EWP,ea,NO
LSL31214(1.55E),"3 1/2"" x 14"" 1.55 Timberstrand LSL ","3 1/2"" x 14"" 1.55 Timberstrand LSL ",02/06/18,EWP,ea,NO
LSL31216(1.55E),"3 1/2"" x 16"" 1.55 Timberstrand LSL ","3 1/2"" x 16"" 1.55 Timberstrand LSL ",02/06/18,EWP,ea,NO
LVL134512(2.0E),"1 3/4"" x 5 1/2"" 2.0 Microllam LVL ","1 3/4"" x 5 1/2"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
LVL134714(2.0E),"1 3/4"" x 7 1/4"" 2.0 Microllam LVL ","1 3/4"" x 7 1/4"" 2.0 Microllam LVL ",02/06/18,EWP,ea,NO
