Item Code,Item Name,Description,Item Cost Code,Item Category,UOM,Rentable
REBAR1520,REBAR 15MM X 20',REBAR 15MM X 20',2-03-20,Rebar,ea,NO
REBAR152CORN,REBAR 90 15MM 2'X2' CORNER,REBAR 90 15MM 2'X2' CORNER,2-03-20,Rebar,ea,NO
REBARTIE616,"REBAR LOOP TIES 6"" 16 GAUGE","REBAR LOOP TIES 6"" 16 GAUGE",2-03-20,Rebar,ea,NO
SDS25112,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25112-R25,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25112MB,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25112SS,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25112SS-R25,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X1 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25200,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2""",2-06-18,Fastening Systems,ea,NO
SDS25200-R25,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2""",2-06-18,Fastening Systems,ea,NO
SDS25200MB,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2""",2-06-18,Fastening Systems,ea,NO
SDS25200SS-R25,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2""",2-06-18,Fastening Systems,ea,NO
SDS25212,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25212-R25,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25212MB,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25212SS,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""",2-06-18,Fastening Systems,ea,NO
SDS25212SS-R25,"SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""","SIMPSON SDS HEAVY-DUTY CONNECTOR Screw 1/4""X2 1/2""",2-06-18,Fastening Systems,ea,NO
